date,label,t_value,horizon,future_ret
2018-01-01 01:00:00,1,3.086706141164788,7.0,0.01769736842105263
2018-01-01 02:00:00,1,3.9349859501613396,6.0,0.030198312860737042
2018-01-01 03:00:00,-1,-3.679297292906253,16.0,-0.015154643736818074
2018-01-01 04:00:00,-1,-4.448281261169672,15.0,-0.022879260137260826
2018-01-01 05:00:00,-1,-4.9589848281581395,14.0,-0.029807482746095126
2018-01-01 06:00:00,-1,-5.03359175606423,13.0,-0.028537135374990807
2018-01-01 07:00:00,-1,-11.090266463989531,7.0,-0.06836901056554245
2018-01-01 08:00:00,-1,-8.198741847764865,6.0,-0.05186717521063633
2018-01-01 09:00:00,1,5.0405756881649495,36.0,0.09829524845846938
2018-01-01 10:00:00,1,5.9839250558644235,36.0,0.08278487035128057
2018-01-01 11:00:00,1,7.234854507981546,36.0,0.09647768218251351
2018-01-01 12:00:00,1,8.089725543158947,36.0,0.10222222222222221
2018-01-01 13:00:00,1,8.827636880955133,36.0,0.12554620458323007
2018-01-01 14:00:00,1,9.217735405186376,36.0,0.1359848484848485
2018-01-01 15:00:00,1,9.475305980255063,36.0,0.13581626874124408
2018-01-01 16:00:00,1,9.984776244573185,36.0,0.11916502057001965
2018-01-01 17:00:00,1,10.601364149586235,36.0,0.139035347588369
2018-01-01 18:00:00,1,10.884643507904933,36.0,0.1367100964968273
2018-01-01 19:00:00,1,11.208665942574326,36.0,0.1669674346859158
2018-01-01 20:00:00,1,11.488511783725567,36.0,0.12635164835164847
2018-01-01 21:00:00,1,12.102068853861699,36.0,0.10384894698620184
2018-01-01 22:00:00,1,12.70816706511724,36.0,0.10356202945510251
2018-01-01 23:00:00,1,12.796681743789488,35.0,0.10441213152759232
2018-01-02 00:00:00,1,12.89240787799003,33.0,0.11409179530029179
2018-01-02 01:00:00,1,13.016840603062647,32.0,0.08594698864042294
2018-01-02 02:00:00,1,15.079266190014062,31.0,0.10224800580130533
2018-01-02 03:00:00,1,16.735076377458615,29.0,0.13398632551758727
2018-01-02 04:00:00,1,17.034222591907564,28.0,0.14703183401845732
2018-01-02 05:00:00,1,16.308557802665106,27.0,0.15947963800904974
2018-01-02 06:00:00,1,15.083773889425574,26.0,0.1582916465766635
2018-01-02 07:00:00,1,13.872687531620077,25.0,0.14156414045039756
2018-01-02 08:00:00,1,12.775751707780767,24.0,0.1327414720400797
2018-01-02 09:00:00,1,11.76115043955905,23.0,0.1238815789473684
2018-01-02 10:00:00,1,10.843513648786915,22.0,0.11652783930399924
2018-01-02 11:00:00,1,9.998461529704086,21.0,0.11402796898775458
2018-01-02 12:00:00,1,9.110410036657171,20.0,0.11413291593295516
2018-01-02 13:00:00,1,8.153536254288767,19.0,0.10758358367011756
2018-01-02 14:00:00,1,7.233670413242772,18.0,0.09643855545413071
2018-01-02 15:00:00,1,6.418187832980093,17.0,0.09906425809034314
2018-01-02 16:00:00,1,5.550375567428526,6.0,0.08061151079136697
2018-01-02 17:00:00,1,4.642464732687162,15.0,0.1087417428678572
2018-01-02 18:00:00,1,4.036728722431689,14.0,0.08655123674911658
2018-01-02 19:00:00,1,3.5877815437878113,13.0,0.0438741216009777
2018-01-02 20:00:00,1,2.76502795627289,12.0,0.01819205298013249
2018-01-02 21:00:00,1,3.139075758601082,11.0,0.015501981505944507
2018-01-02 22:00:00,1,4.246697886868598,10.0,0.023581105822043202
2018-01-02 23:00:00,1,4.793908142310015,9.0,0.03109784722687947
2018-01-03 00:00:00,1,4.2163303876394975,8.0,0.033245967741935445
